agency,title,description,formats,link,
Land Information New Zealand,"Land elevation points (Hydro, 1:1.5mil and smaller)","An elevation is the vertical distance of a point or a level, on, or affixed to, the surface of the earth , measured from a specified vertical datum.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3220,
Landcare Research,Mean Annual Soil Temperature (South Island),Soil temperature surfaces for the South Island of New Zealand are based on analysis of a combination of monthly mean soil temperature data from the NIWA (National Institute of Water and Atmospheric Research) 3 years data from 175 mini-data-loggers (1997-2000) laid out in a stratified sampling scheme at 7 climatically representative locations in the South Island.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3268,
Canterbury Earthquake Recovery Authority,Christchurch Central Development Unit Public Data (WGS84),Public data depicting land changes within the Christchurch CBD as a result of Land Designations and rezoning.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3292,
Land Information New Zealand,"Mooring/Warping facility points (Hydro, 1:350k - 1:1,500k)",The equipment or structure used to secure a vessel.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3364,
Land Information New Zealand,Auckland 0.125m Urban Aerial Photos Index Tiles (2010-2011),"Index Tiles ONLY, for actual orthophotos see layer Auckland 0.125m Urban Aerial Photos (2010-2011)[http://data.linz.govt.nz/layer/1868].","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3556,
Land Information New Zealand,Tasman 1m Rural Aerial Photos Index Tiles (2004-2005),"Index Tiles ONLY, for actual orthophotos see layer Tasman 1m Rural Aerial Photos (2004-2005)[http://data.linz.govt.nz/layer/1774] Orthophotography for the Tasman region taken in the flying season (summer period) of 2004-2005.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3580,
Land Information New Zealand,Auckland 0.125m Urban Aerial Photos (2010-2011),Orthophotography for the Auckland Council taken during 2010 and 2011.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3604,
Land Information New Zealand,"Cook Islands Reef Polygons (Topo, 1:50k, Zone4)","A ridge, usually of rocks or coral, lying near the surface of the sea, which may be visible at low tide, but is usually covered with water Data Dictionary for reef_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-reef_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3772,
Land Information New Zealand,"Cook Islands Island Polygons (Topo, 1:25k, Zone3)",Area of dry or relatively dry land surrounded by water or low wetland Data Dictionary for island_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-island_poly] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3796,
Land Information New Zealand,"Niue Native Polygons (Topo, 1:50k)",A tract of land covered by trees native to New Zealand.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3820,
Land Information New Zealand,"Tokelau Rock Points (Topo, 1:25k)",An isolated rock or rock formation between high and low tides.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3844,
Land Information New Zealand,Cook Islands Topo50 Zone4 Gridless Maps,"The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham Islands, offshore islands, and offshore dependancies at 1:50,000 (some of the islands at 1:25,000) scale.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3868,
Land Information New Zealand,"Cook Islands Height Points (Topo, 1:25k, Zone4)","A height above a vertical datum, represented on a map by a dot locator with the elevation printed beside the dot.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3892,
Land Information New Zealand,"Cook Islands Soakhole Points (Topo, 1:25k, Zone4)",The point at which a river or stream percolates into or through the soil.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3916,
Land Information New Zealand,Tokelau Topo25 Gridless Maps,"The Topo50 map series provides topographic mapping for the New Zealand mainland, Chatham Islands, offshore islands, and offshore dependancies at 1:50,000 (some of the islands at 1:25,000) scale.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3940,
Ministry for the Environment (MfE),River Environment Classification Bay of Plenty (2010),The New Zealand River Environment Classification (REC) organises information about the physical characteristics of New Zealand's rivers.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4132,
Ministry for the Environment (MfE),River Environment Classification Wellington (2010),The New Zealand River Environment Classification (REC) organises information about the physical characteristics of New Zealand's rivers.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4156,
Ministry for the Environment (MfE),Annual Average PM10 Concentration - Selected Urban Centres,"Note: PM10 concentrations are given in micrograms per cubic metre of air, or µg/m3.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4180,
Land Information New Zealand,South Island Charts,"This dataset is a collection of individual hydrographic charts for New Zealand's South Island region, and has been designed to provide a quick way to group, view and/or download charts within this region.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4204,
New Zealand Defence Force,SW Pacific Thicket Areas,"Show a tract covered mainly by low-growing, uncultured, woody plants that are thickly tangled together.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4228,
New Zealand Defence Force,SW Pacific Smokestack Points,Show a vertical structure containing a passage or flue for discharging smoke and gases of combustion.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4252,
New Zealand Defence Force,SW Pacific Surface Bunker Points,Show a surface structure that may be covered and/or surrounded with earth and is resistant to ordnance.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4276,
New Zealand Defence Force,SW Pacific Cleared Way Areas,Show a man-made cleared strip through a vegetated region.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4300,
New Zealand Defence Force,SW Pacific Communication Station Areas,Shows a facility in which communication signals are processed and/or controlled.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4324,
New Zealand Defence Force,SW Pacific Approach Lighting System Points,Shows the location of approach lighting systems.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4348,
Canterbury Regional Council,Selwyn Liquefaction Susceptibility 2006,This dataset delineates zones of liquefaction susceptibility.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4372,
Canterbury Regional Council,Earthworks and Vegetation Clearance,"Layer from Land and Vegetation Management Regional Plan by Canterbury Regional Council 1997, which addresses the management of earthworks and vegetation clearance in the Port Hills.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4468,
Canterbury Regional Council,Aquifer systems,"The Coastal Confined Gravel Aquifer System is a relatively narrow band of confined gravel aquifers, situated near the coast between the Ashley and Rakaia rivers, bounded by the coastal marine area, Banks Peninsula, and on the western side by the line where sediments in the overlying confining layer are three metres thick.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4516,
Canterbury Regional Council,Main Navigation Channel Port of Timaru,Main navigation channel into the Port of Timaru as shown on Map 5.4 of the Canterbury Regional Coastal Environment Plan 2005.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4564,
Land Information New Zealand,"Niue Terrain Relief (Topo, 1:50k)","In addition to contour lines, relief shading helps visualise the terrain.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4660,
Canterbury Regional Council,DEM Layers,DEM/DTM layer set for the Canterbury region.,"['Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4684,
Waikato Regional Council,Biodiversity Vegetation (BIOVEG) 2012 - GIS Layer,"Terrestrial vegetation, sand dunes and wetlands mapped off 2012 WRAPS orthophotography using a slightly simplified version of the LCDB (1 and 2) classifications for the Waikato Region.","['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4708,
Ministry for the Environment (MfE),"Status of widespread indigenous trees - Widespread indigenous tree species, 2002–07 and 2009–14","Eight indigenous tree species, spanning a range of ecological niches, were surveyed twice (between 2002 and 2014) as part of a vegetation monitoring programme.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4780,
Ministry for the Environment (MfE),Annual maximum three-day rainfall totals (1950–2013,A three-day rainfall measurement covers a single sustained rain event or a series of shorter events over a three-day period.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4804,
Ministry for the Environment (MfE),Primary productivity - chlorophyll-a anomalies (1997–2014),Phytoplankton are primary producers and form the basis of the oceans’ food chains.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4828,
Ministry for the Environment (MfE),Global greenhouse gas emissions (1990–2011),Greenhouse gas (GHG) emissions from human activities increase the concentrations of these gases in the atmosphere.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4852,
Ministry for the Environment (MfE),Annual average temperature anomaly (1909–2013),Temperature change is influenced by changes in atmospheric composition that result from greenhouse gas emissions.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4876,
Ministry for the Environment (MfE),National PM10 concentrations 2006–13,Particulate matter 10 micrometres or less in diameter (PM10) in the air comprises solid particles and liquid droplets from both natural and human-made sources.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4900,
Land Information New Zealand,Canterbury 0.3m Rural Aerial Photos Index Tiles (2014-15),"Index Tiles ONLY, for actual orthophotos see layer Canterbury 0.3m Rural Aerial Photos (2014-15)[http://data.linz.govt.nz/layer/2602] Orthophotography for the Canterbury region taken in the flying season (summer period) 2014 - 2015.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4924,
Ministry for the Environment (MfE),"Marine ecosystem groups BOMEC, 2012",The 15 class Benthic-Optimised Marine Environment Classification (BOMEC).,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5068,
Ministry for the Environment (MfE),Recruitment of indigenous tree sp putaputaweta 2002–2014,"""The rates of establishment (recruitment) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5092,
Ministry for the Environment (MfE),Freshwater pests: Water lettuce,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5116,
Ministry for the Environment (MfE),Freshwater pests: Coontail,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5140,
Ministry for the Environment (MfE),"Nitrate–nitrogen, 2009–2013","""Small amounts of nitrogen are a natural component of healthy rivers.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5164,
Ministry for the Environment (MfE),"Average sea–surface temperature, 1993–2012",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5188,
Ministry for the Environment (MfE),"Annual average sea surface temperature, 2010",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5212,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1993",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5236,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 2005",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5260,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 2005,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5284,
